,array_size,num_mac,bandwidth,num_vcs,vc_buf_size,pred_latency,real_latency
0,32,4,1024,4,2,746708.0,727769
1,32,8,1024,4,2,556380.0,517084
2,32,16,1024,4,2,1078200.0,607059
3,32,32,1024,4,2,698348.0,580746
4,32,64,1024,4,2,597761.5,500853
5,32,128,1024,4,2,553336.0,513980
6,32,256,1024,4,2,656298.0,509340
7,32,64,256,4,2,2039724.0,1606243
8,32,64,512,4,2,1079724.0,876649
9,32,64,1024,4,2,597761.5,500853
10,32,64,2048,4,2,337786.5,298793
11,32,64,4096,4,2,211261.5,175898
12,32,64,1024,1,2,597761.5,500853
13,32,64,1024,2,1,597761.5,500853
14,32,64,1024,1,4,611846.5,533807
15,32,64,1024,2,2,611846.5,533807
16,32,64,1024,4,1,597761.5,500853
17,32,64,1024,1,8,611846.5,533807
18,32,64,1024,2,4,597761.5,500853
19,32,64,1024,4,2,597761.5,500853
20,32,64,1024,8,1,611846.5,533807
21,32,64,1024,1,16,611846.5,533807
22,32,64,1024,2,8,621366.5,553719
23,32,64,1024,4,4,605806.5,526942
24,32,64,1024,8,2,621366.5,553719
